epoch,train_acc,train_loss,test_acc,test_loss
0.0,74.97166666666666,0.6728945205052693,83.86,0.4579904814322789
1.0,82.77666666666667,0.4767008329495787,80.42166666666667,0.5326743679573138
2.0,84.15,0.4424679577872157,84.48833333333333,0.4232423330957691
3.0,84.79333333333334,0.4234210234637062,85.58,0.4012710042099158
4.0,85.17333333333333,0.4116695111641039,86.05166666666666,0.3864854033052921
5.0,85.53833333333333,0.4050543278373777,85.52666666666667,0.4023126459794739
6.0,85.80666666666667,0.3953960149168968,87.10333333333334,0.3636401699145635
7.0,86.095,0.3880831434140602,87.38833333333334,0.359913302992781
8.0,86.19833333333334,0.3837449033945799,85.80333333333333,0.3896164846332123
9.0,86.49333333333334,0.3794077968736489,87.31333333333333,0.3536945751150449
10.0,86.56666666666666,0.3750779710183541,87.15833333333333,0.358948788532118
11.0,86.565,0.372600052639842,86.83166666666666,0.3542393806276222
12.0,86.68333333333334,0.369244312966615,86.19333333333333,0.384119206387798
13.0,86.83833333333334,0.3674630247816443,87.49166666666666,0.3435190471444279
14.0,87.07333333333334,0.3621111159646883,86.85,0.3618171812735498
15.0,87.06,0.3609293496905515,86.67166666666667,0.3742778717485567
16.0,87.13833333333334,0.3576546539530158,88.27,0.3396343631196767
17.0,87.14166666666667,0.3565264625156919,86.37,0.3774741913800438
18.0,87.42166666666667,0.3509407754406333,87.945,0.341910199890534
19.0,87.43666666666667,0.3495507156108816,87.53166666666667,0.3475897246014016
20.0,87.555,0.3479446289929251,87.70166666666667,0.3462436354719102
21.0,87.69166666666666,0.3451974993191659,88.28,0.324998368786027
22.0,87.59833333333333,0.3442015913970768,86.63,0.3520474573289354
23.0,87.74,0.342335823659723,88.32,0.3246787765319148
24.0,87.8,0.3415320926963041,88.46166666666667,0.3360067118703077
25.0,87.68833333333333,0.340070786528786,87.94333333333333,0.3266214508843919
26.0,87.85833333333333,0.3364586485878875,88.27333333333333,0.3211291955499599
27.0,87.84333333333333,0.3370329456046224,88.42,0.3257776482919852
28.0,87.96166666666667,0.336240791557605,88.91833333333334,0.3111857288482909
29.0,88.16166666666666,0.333801137523974,88.22,0.3273881475694477
30.0,87.97,0.3365714285508419,88.56833333333333,0.3194123977233966
31.0,88.07833333333333,0.3331011432851354,86.73833333333333,0.36631596801579
32.0,88.20333333333333,0.3311408884915213,88.63833333333334,0.3104109793558717
33.0,87.96666666666667,0.332783390400807,88.35,0.3214951150740186
34.0,88.13,0.3288208316039294,87.98333333333333,0.3539172445513308
35.0,88.22666666666667,0.32869621702622,88.48333333333333,0.3284495216369629
36.0,88.32666666666667,0.3265903072781861,89.43166666666667,0.2945522147277991
37.0,88.22,0.3286651217117906,88.16666666666667,0.3203460987602671
38.0,88.39166666666667,0.3255873577333366,88.605,0.3244277982526769
39.0,88.48,0.3225364265913765,88.90666666666667,0.3088076957328866
40.0,88.37833333333333,0.3232309836115688,87.56333333333333,0.3457767492689192
41.0,88.425,0.324392403832823,89.53166666666667,0.2876838449864648
42.0,88.525,0.3199571674910684,88.90833333333333,0.3038105883498986
